,TYPE,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
0,PE,40200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40200.00,9436,261,2.844686648501362,102467,19.07,13.75,-16.45,-54.47019867549668,87775,14300,575,13.65,475,13.75,42132.55
0,CE,40300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40300.00,416,149,55.80524344569288,378,0.0,1871.5,587.0,45.69871545348384,3375,2975,25,1858.35,400,1879.1,42132.55
0,PE,40300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40300.00,16523,8374,102.76107497852497,112297,18.49,14.6,-21.15,-59.16083916083915,83350,10700,300,14.5,575,15.05,42132.55
0,CE,40400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40400.00,303,204,206.06060606060606,413,0.0,1760.0,574.0,48.397976391231026,5050,3575,25,1763.65,125,1775.8,42132.55
0,PE,40400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40400.00,7440,4900,192.91338582677164,85132,18.02,17.1,-25.0,-59.38242280285036,116275,9500,325,16.3,475,16.8,42132.55
0,CE,40500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40500.00,13635,11453,524.8854262144821,15341,0.0,1669.05,552.55,49.48947604120018,13700,8550,100,1666.45,125,1670.0,42132.55
0,PE,40500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40500.00,51642,28256,120.82442486958008,283419,17.58,18.15,-31.450000000000003,-63.407258064516135,110550,40225,5750,18.3,100,18.4,42132.55
0,CE,40600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40600.00,643,321,99.68944099378882,695,0.0,1567.85,537.3,52.13720828683712,4425,2900,700,1561.5,25,1581.0,42132.55
0,PE,40600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40600.00,14882,9123,158.4129189095329,102798,17.01,20.5,-38.1,-65.01706484641639,65025,12625,25,19.75,100,19.9,42132.55
0,CE,40700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40700.00,495,30,6.451612903225806,807,0.0,1474.0,530.5,56.226815050344456,4475,3800,125,1469.95,25,1474.0,42132.55
0,PE,40700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40700.00,11647,5262,82.41190289741581,99952,16.55,22.2,-46.55,-67.7090909090909,55375,19950,50,22.25,275,22.4,42132.55
0,CE,40800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40800.00,731,-72,-8.966376089663761,2074,0.0,1378.95,528.85,62.21032819668274,7425,4250,25,1372.75,200,1378.95,42132.55
0,PE,40800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40800.00,13643,5481,67.15265866209262,155553,16.05,25.25,-56.3,-69.03740036787246,55425,24200,150,24.6,25,24.85,42132.55
0,CE,40900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE40900.00,605,-356,-37.04474505723205,2345,0.0,1278.15,507.70000000000005,65.89655396197028,6050,6050,125,1278.0,200,1286.0,42132.55
0,PE,40900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE40900.00,11535,6310,120.76555023923444,114603,15.65,29.9,-66.85,-69.09560723514211,51325,16125,350,28.2,200,28.85,42132.55
0,CE,41000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41000.00,12989,3348,34.72668810289389,36393,0.0,1181.65,497.80000000000007,72.79374131754041,29975,9750,25,1183.0,25,1186.45,42132.55
0,PE,41000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41000.00,61009,36137,145.29189449983917,422934,15.22,34.7,-79.85,-69.7075512876473,94375,86825,875,33.0,75,33.35,42132.55
0,CE,41100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41100.00,960,-637,-39.88728866624922,11063,0.0,1093.0,482.29999999999995,78.97494678238087,6075,5225,75,1086.75,725,1093.0,42132.55
0,PE,41100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41100.00,11065,6193,127.11412151067323,117850,14.8,38.5,-97.25,-71.63904235727439,62650,25250,100,38.25,75,38.4,42132.55
0,CE,41200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41200.00,2383,-502,-17.400346620450605,19733,0.0,993.0,461.15,86.70677822694368,8400,4900,100,994.0,125,1001.6,42132.55
0,PE,41200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41200.00,21079,9521,82.37584357155217,199055,13.95,44.6,-114.95000000000002,-72.04638044500157,56100,29950,100,42.8,50,45.0,42132.55
0,CE,41300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41300.00,2602,-3203,-55.176571920757965,37023,0.0,903.7,443.90000000000003,96.54197477163984,10325,7150,100,902.55,25,908.7,42132.55
0,PE,41300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41300.00,22694,12406,120.58709175738724,205607,14.05,53.0,-136.5,-72.0316622691293,55275,62925,200,51.2,2600,53.0,42132.55
0,CE,41400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41400.00,3229,-3829,-54.250495891187306,59788,6.7,814.4,418.4,105.65656565656565,8875,5200,100,813.95,200,819.95,42132.55
0,PE,41400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41400.00,17826,6399,55.99894985560515,192282,13.74,64.0,-162.05,-71.6876797168768,25350,49425,25,63.25,100,63.45,42132.55
0,CE,41500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41500.00,20829,-2941,-12.37273874631889,326314,8.58,727.0,391.8,116.8854415274463,24050,11550,75,727.45,25,729.05,42132.55
0,PE,41500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41500.00,53055,29238,122.76105302934879,547874,13.44,77.0,-188.64999999999998,-71.01449275362319,36575,126175,600,75.85,150,76.1,42132.55
0,CE,41600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41600.00,8015,-4767,-37.29463307776561,272772,9.25,641.75,359.65,127.49025168380005,14650,5650,250,646.05,400,648.95,42132.55
0,PE,41600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41600.00,32428,25096,342.28041462084013,356306,13.17,91.5,-216.5,-70.29220779220779,17250,94675,400,91.1,250,91.35,42132.55
0,CE,41700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41700.00,13650,3250,31.25,407560,9.51,565.0,330.95,141.40140995513778,12450,6125,50,565.0,450,567.45,42132.55
0,PE,41700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41700.00,31806,29395,1219.2036499377853,412232,12.98,111.8,-251.89999999999998,-69.26037943359911,47150,108850,125,111.05,700,111.4,42132.55
0,CE,41800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41800.00,18743,10513,127.73997569866343,360147,9.8,496.0,303.6,157.7962577962578,26250,10850,400,490.8,225,493.0,42132.55
0,PE,41800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41800.00,28489,26910,1704.2431918936036,318748,12.81,135.0,-284.9,-67.84948797332699,32800,97900,100,135.0,50,135.5,42132.55
0,CE,41900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE41900.00,12789,8358,188.62559241706163,248504,9.99,417.0,262.2,169.3798449612403,19900,13625,75,419.75,100,420.9,42132.55
0,PE,41900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE41900.00,17751,17420,5262.8398791540785,179686,12.72,161.05,-324.3,-66.81776037910787,33150,60675,50,164.7,450,165.0,42132.55
0,CE,42000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42000.00,51183,29557,136.6734486266531,697152,9.95,351.0,228.0,185.3658536585366,236150,50850,325,353.0,425,353.95,42132.55
0,PE,42000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42000.00,53272,50825,2077.033101757254,353037,12.6,197.55,-353.40000000000003,-64.14375170160632,71925,148450,125,198.0,50,198.35,42132.55
0,CE,42100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42100.00,21489,15589,264.22033898305085,297461,10.29,299.95,203.0,209.38628158844764,34425,22800,1150,293.9,775,299.9,42132.55
